Identifier	Character	Dialogue	Filename	Line Number	Filename	Identifier
start_0ed8288c		"Tonight is a silent night, as I sit in front of my childhood home for the last time. After I return from my trip, the place will have nothing but a Christmas tree and a set table."	game/script.rpy	89		start_0ed8288c
start_81e8b74f		"Tomorrow morning, I will be saying goodbye to a childhood friend who has watched my family and I grow within its walls. I will be leaving for my Aunt's Bed and Breakfast in the countryside, while my mother packs all of our good memories into boxes. At least, the ones that fit. "	game/script.rpy	91		start_81e8b74f
start_0edeb824		"The house I grew up in isn't really a house, but no one ever asks about the two bedroom walk up I grew up in. "	game/script.rpy	94		start_0edeb824
start_bf60cc95		House is a strange word. I don't really like the way it tastes on my tongue. It feels so much more extravagant than what I live in. Why don't people ever ask about my home?	game/script.rpy	97		start_bf60cc95
start_366fde3a		"A house has enough bedrooms for every person living in the place. It has a comfy living space, a backyard and a front porch."	game/script.rpy	100		start_366fde3a
start_8bec53e4		"What it doesn't have is a bedroom so small that the mattress acts as a couch, desk and bed all at once. A house doesn't have four flights of stairs between its occupants and a musty smelling lobby."	game/script.rpy	103		start_8bec53e4
start_294e4cb5		"But, most importantly, a house doesn't have the memory of a deceased loved one lingering in all of the things scattered around the cramped space. Not in the always tidy hamper, or the uncluttered top shelf of the wall unit. Not even in the almost empty refrigerator."	game/script.rpy	106		start_294e4cb5
start_b1e73afe		"My two bedroom walk up certainly isn't a house, but it is a home. A home filled with painful memories that I can no longer stomach. That's why I'm leaving. "	game/script.rpy	110		start_b1e73afe
start_bf376ed7		"Not for good, that would kill my beautiful mother's taped together smile. But, I'll leave until all of the holiday cheer in the streets of New York City is gone. Until I no longer have to watch my mother wrap a gift and label it ""To Craig, from Santa."""	game/script.rpy	114		start_bf376ed7
start_d7b6eb27		We all know that he is going to miss the third Christmas in a row but it will still feel like the very first time we celebrated his favorite holiday without him. 	game/script.rpy	118		start_d7b6eb27
start_cc2282e9		I'll have to look into my mother's hollow eyes as she tears open the finely wrapped paper and exclaim that Craig would appreciate the gift. 	game/script.rpy	121		start_cc2282e9
start_74521e8c		"It's always the same thing too, the sterling silver guardian angel pin that she had given him almost five Christmases ago. The one she and I had spent hours arguing with the postal service on the phone for after they lost the package on route. "	game/script.rpy	125		start_74521e8c
start_3db4c6d7		"This Christmas, my mother will not have to spend the happiest time of year with three spots at the table unclaimed. She has my word. Until that time comes, I need to leave the overtly ""in your face"" holiday cheer that New York City is famous for. "	game/script.rpy	129		start_3db4c6d7
start_fe657b83		"Not because I don't appreciate a large Christmas tree in every well known area or ice skating rinks filled with people chattering excitedly. It's because I just don't know how the city is able to keep moving when, to me and my mother, it feels as if it the world has stopped spinning. "	game/script.rpy	132		start_fe657b83
start_d87851d5		My hand glides over the aluminum mailbox. The same aluminum mailbox that my mother and I would wait anxiously by. Our best memories were when we would finally receive a letter from Craig after months#; we'd both smile and count our blessings. 	game/script.rpy	135		start_d87851d5
