Identifier	Character	Dialogue	Filename	Line Number	Filename	Identifier
prologue_96b53f77		"Tonight is a silent night, as I sit in front of my childhood home for the last time."	game/script.rpy	20		prologue_96b53f77
prologue_b5661fb4		"After I return from my trip, the place will have nothing but a Christmas tree and a set table."	game/script.rpy	21		prologue_b5661fb4
prologue_7aa103a8		"Tomorrow morning, I will be saying goodbye to a childhood friend who has watched my family and I grow within its walls."	game/script.rpy	23		prologue_7aa103a8
prologue_013a4b85		"I will be leaving for my Aunt's Bed and Breakfast in the countryside, while my mother packs all of our good memories into boxes. At least, the ones that fit. "	game/script.rpy	24		prologue_013a4b85
prologue_0edeb824		"The house I grew up in isn't really a house, but no one ever asks about the two bedroom walk up I grew up in. "	game/script.rpy	27		prologue_0edeb824
prologue_bf60cc95		House is a strange word. I don't really like the way it tastes on my tongue. It feels so much more extravagant than what I live in. Why don't people ever ask about my home?	game/script.rpy	30		prologue_bf60cc95
prologue_366fde3a		"A house has enough bedrooms for every person living in the place. It has a comfy living space, a backyard and a front porch."	game/script.rpy	33		prologue_366fde3a
prologue_8bec53e4		"What it doesn't have is a bedroom so small that the mattress acts as a couch, desk and bed all at once. A house doesn't have four flights of stairs between its occupants and a musty smelling lobby."	game/script.rpy	36		prologue_8bec53e4
prologue_2efffb1a		"But, most importantly, a house doesn't have the memory of a deceased loved one lingering in all of the things scattered around the cramped space."	game/script.rpy	39		prologue_2efffb1a
prologue_951f0d6e		"Not in the always tidy hamper, or the uncluttered top shelf of the wall unit. Not even in the almost empty refrigerator."	game/script.rpy	40		prologue_951f0d6e
prologue_b1e73afe		"My two bedroom walk up certainly isn't a house, but it is a home. A home filled with painful memories that I can no longer stomach. That's why I'm leaving. "	game/script.rpy	44		prologue_b1e73afe
prologue_c35355dd		"Not for good, that would kill my beautiful mother's taped together smile."	game/script.rpy	48		prologue_c35355dd
prologue_bd2d02bb		"But, I'll leave until all of the holiday cheer in the streets of New York City is gone. Until I no longer have to watch my mother wrap a gift and label it ""To Craig, from Santa."""	game/script.rpy	49		prologue_bd2d02bb
prologue_d7b6eb27		We all know that he is going to miss the third Christmas in a row but it will still feel like the very first time we celebrated his favorite holiday without him. 	game/script.rpy	53		prologue_d7b6eb27
prologue_cc2282e9		I'll have to look into my mother's hollow eyes as she tears open the finely wrapped paper and exclaim that Craig would appreciate the gift. 	game/script.rpy	56		prologue_cc2282e9
